brandnm,goodsnm,USER,reg_date,order_date,p_type,sub_type,app_yn
Gucci,flower dionysus shoulder bag beige,a161237,2019-12-06,2021-01-15,7days,BA,Y
El estilo de Claire,beads cropped jacket black,a1140859,2021-01-02,2021-01-15,4days,O,
Danha,embroidery point oriental mini skirt blue,a1140859,2021-01-02,2021-01-15,4days,B,
Danha,graphics pattern top pink,a1140859,2021-01-02,2021-01-15,4days,T,
Burberry London,buckle basic pattern zipup-jumper navy,a1140740,2021-01-01,2021-01-15,7days,O,Y
Prada,ruffle detail long coat,a110231,2018-10-18,2021-01-15,7days,O,Y
Max Mara,strap basic pattern wrap-coat black,a1139960,2020-12-26,2021-01-15,7days,O,Y
Molliolli,pocket basic pattern fur-outer ivory,a115159,2019-01-29,2021-01-15,4days,O,Y
Gucci,dionysus cross bag,a1143028,2021-01-14,2021-01-15,4days,BA,Y
Sandro,pattern pointed cardigan black,a117306,2019-03-02,2021-01-15,7days,O,Y
Louis Vuitton,twist monogram patent shoulder bag black,a1140216,2020-12-28,2021-01-15,7days,BA,Y
Tory Burch,flower ethnic pattern cross bag white,a1141255,2021-01-05,2021-01-15,4days,BA,Y
Prada,color fur detail coat black,a1137815,2020-12-18,2021-01-15,7days,O,Y
Prada,zipper detail cape padding jumper,a1135135,2020-12-04,2021-01-15,7days,O,Y
Chloe,faye small bag black,a1129386,2020-11-09,2021-01-15,4days,BA,Y
Prada,logo hobo bag black,a1143143,2021-01-15,2021-01-15,4days,BA,Y
Gucci,microssima mini cross body bag pink,a1142921,2021-01-14,2021-01-14,4days,BA,Y
Time,pocket basic pattern coat black,a1142921,2021-01-14,2021-01-14,4days,O,Y
The Izzat,check pattern double breasted coat gray,a1142834,2021-01-13,2021-01-14,4days,O,Y
El estilo de Claire,broach shirt layered dress brown,a1141367,2021-01-06,2021-01-14,4days,D,
Mojosphine,Geometric pattern ribbon belt dress,a1141367,2021-01-06,2021-01-14,4days,D,
Ted Baker,color block pattern wool fur-outer,a1138992,2020-12-21,2021-01-14,4days,O,Y
& Other Stories,basic pattern sweater ivory,a1143019,2021-01-14,2021-01-14,4days,T,
Fendi,stripe pattern two way bucket bag brown,a1142679,2021-01-13,2021-01-14,7days,BA,Y
Balmain,basic pattern sweat-shirts white,a1142679,2021-01-13,2021-01-14,7days,T,Y
Celine,lined zip-up jumper black,a1142679,2021-01-13,2021-01-14,7days,O,Y
Burberry,shawl collar double coat,a1142679,2021-01-13,2021-01-14,7days,O,Y
Fendi,two way bucket bag white,a192991,2020-04-02,2021-01-14,7days,BA,Y
Chanel,brooch stripe pattern turtle neck turtleneck navy,a1136028,2020-12-09,2021-01-14,4days,T,Y
Sandro,ruffle basic pattern A-Line dress black,a1136028,2020-12-09,2021-01-14,4days,D,Y
Prada,quilted cross body bag black,a1142924,2021-01-14,2021-01-14,4days,BA,Y
Sandro,button check pattern cape navy,a1142924,2021-01-14,2021-01-14,4days,O,Y
Dior,croisiere patent lady bag,a1127813,2020-10-31,2021-01-14,4days,BA,Y
Bottega Veneta,intrecciato clutch bag black 2,a1142841,2021-01-13,2021-01-14,4days,BA,Y
Gucci,padlock GG canvas shoulder bag,a143862,2019-09-29,2021-01-14,4days,BA,Y
Celine,belted short jacket,a1141112,2021-01-04,2021-01-13,4days,O,Y
Gucci,flap cross bag black,a1141099,2021-01-04,2021-01-13,4days,BA,Y
Prada,single button modern coat black,a1142328,2021-01-11,2021-01-13,4days,O,Y
Gucci,vintage web shoulder bag black,a1139204,2020-12-22,2021-01-13,7days,BA,Y
Plastic Island,button flower pattern A-Line dress ivory,a13934,2018-03-27,2021-01-13,4days,D,Y
Gucci,brooch check pattern H-Line dress ivory,a1141580,2021-01-07,2021-01-13,4days,D,Y
Reneevon,ribbon casual dress dark pink,a1136116,2020-12-09,2021-01-13,4days,D,Y
Sorry Too Much Love,pocket basic pattern fur-outer pink,a1142554,2021-01-12,2021-01-13,4days,O,
Gucci,microssima emily mini bag black,a1142736,2021-01-13,2021-01-13,7days,BA,Y
Louis Vuitton,monogram shoulder bag black,a164734,2019-12-13,2021-01-13,4days,BA,Y
Saint Laurent,chevron quilted cross bag black,a1140871,2021-01-02,2021-01-13,4days,BA,Y
Gucci,mamont chain bag black,a1128095,2020-11-01,2021-01-13,4days,BA,Y
Miu Miu,lace detail flared dress multi,a171604,2020-01-08,2021-01-13,4days,D,Y
Prada,collar point long coat multi,a189599,2020-03-22,2021-01-13,7days,O,Y
Yves Saint Laurent,basic pattern wool sweater black,a1129563,2020-11-09,2021-01-12,4days,T,Y
Zooc,belt basic pattern coat black,a1141925,2021-01-09,2021-01-12,4days,O,Y
Saint Laurent,chevron quilted cross bag black,a1141925,2021-01-09,2021-01-12,4days,BA,Y
Plastic Island,basic pattern A-Line dress skyblue,a1141640,2021-01-08,2021-01-12,4days,D,Y
Prada,button check pattern wool singlebreasted-jacket brown,a1120719,2020-09-21,2021-01-12,4days,O,Y
Celine,luggage bag black,a1133560,2020-11-27,2021-01-12,7days,BA,Y
Vivienne Westwood,button basic pattern shirt-dress navy,a182915,2020-02-16,2021-01-12,4days,D,Y
Saint Laurent,mini sunset chain bag black,a1142471,2021-01-12,2021-01-12,7days,BA,Y
Maison Kitsune,printing lettering pattern t-shirts grey,a1139255,2020-12-22,2021-01-11,4days,T,Y
Chanel,pocket tweed pattern cashmere coat pink,a1138513,2020-12-20,2021-01-11,4days,O,Y
Margarin fingers,lace detail stripe sleeveless top,a1141520,2021-01-07,2021-01-11,4days,T,Y
The Tint,frill detail side button top beige,a1141520,2021-01-07,2021-01-11,4days,T,Y
Plastic Island,frill basic pattern H-Line dress burgundy,a1141520,2021-01-07,2021-01-11,4days,D,Y
Gucci,quilted GG momont cross bag black,a1142263,2021-01-11,2021-01-11,7days,BA,Y
Yves Saint Laurent,coll?ge medium cross bag,a189110,2020-03-19,2021-01-11,4days,BA,Y
Gucci,microssima emily mini bag cream,a1138765,2020-12-20,2021-01-11,7days,BA,Y
Love Moschino,pocket basic pattern slacks black,a1141949,2021-01-10,2021-01-10,4days,B,Y
Michaa,slit basic pattern skirt white,a1140758,2021-01-01,2021-01-10,7days,B,Y
Saint Laurent,button basic pattern blazer black,a1140758,2021-01-01,2021-01-10,7days,O,Y
Vivienne Westwood Red Label,check pattern unbalance skirt ivory,a1140758,2021-01-01,2021-01-10,7days,B,Y
Vivienne Westwood,pocket stripe pattern jacket,a1140758,2021-01-01,2021-01-10,7days,O,Y
MSGM,basic pattern top black,a1140758,2021-01-01,2021-01-10,7days,T,Y
Christian Dior,letter pointed tote bag small,a182494,2020-02-14,2021-01-10,7days,BA,Y
Molliolli,zebra print pattern turtle neck top multi,a147817,2019-10-16,2021-01-09,7days,T,Y
Louis Vuitton,alma epi pm tote bag black,a1141816,2021-01-09,2021-01-09,7days,BA,Y
It michaa,button tweed pattern A-Line shirt-dress black,a1129105,2020-11-07,2021-01-08,4days,D,
Max Mara,belt basic pattern wool coat brown,a1131911,2020-11-20,2021-01-08,4days,O,Y
SJSJ,ruffle detail belted dress black,a1141668,2021-01-08,2021-01-08,4days,D,Y
Amsale,one shoulder dress purple,a1139028,2020-12-21,2021-01-08,4days,D,Y
Imvely,basic pattern A-Line slip-dress black,a1139028,2020-12-21,2021-01-08,4days,D,Y
Chi Chi London,lace flower pattern A-Line dress deeppink,a1139028,2020-12-21,2021-01-08,4days,D,Y
Maje,graphics pattern dress pink,a1139028,2020-12-21,2021-01-08,4days,D,Y
Gucci,stripe pattern pointed cardigan,a1133588,2020-11-27,2021-01-08,7days,O,Y
Celine,drop shoulder boxy coat,a16928,2018-08-15,2021-01-08,7days,O,Y
Gucci,ophidia small black,a1141468,2021-01-07,2021-01-08,4days,BA,Y
Biker Starlet,classic two way bag black,a1140737,2021-01-01,2021-01-08,4days,BA,Y
Michaa,basic pattern A-Line knit-dress nude,a1140842,2021-01-02,2021-01-07,4days,D,Y
Thom Browne,basic pattern skirt grey,a1135222,2020-12-04,2021-01-07,4days,B,Y
Thom Browne,slit stripe pattern wool top grey,a1135222,2020-12-04,2021-01-07,4days,T,Y
Jill By Jill Stuart,flare detail double button coat,a1138599,2020-12-20,2021-01-07,4days,O,Y
Comme des Garcons,heart logo stripe shirts blue,a1135222,2020-12-04,2021-01-07,4days,T,Y
Nain,pocket basic pattern coat brown,a1104471,2020-06-15,2021-01-07,4days,O,Y
Louis Vuitton,monogram clutch brown,a1141530,2021-01-07,2021-01-07,7days,BA,Y
Gucci,GG pattern cross body bag beige,a1138438,2020-12-20,2021-01-07,7days,BA,Y
Gucci,marmont GG velvet bag purple,a1141394,2021-01-06,2021-01-07,7days,BA,Y
Reneevon,embroidery basic pattern A-Line dress black,a1141207,2021-01-05,2021-01-06,4days,D,Y
Dolce & Gabbana,puff sleeve flower pattern dress,a1110250,2020-08-03,2021-01-06,4days,D,Y
Molliolli,pocket basic pattern fur-outer grey,a1105400,2020-06-21,2021-01-06,4days,O,Y
Givenchy,givenchy obsedia medium bag,a199351,2020-05-03,2021-01-06,7days,BA,Y
Chanel,classic chain shoulder bag black,a1141379,2021-01-06,2021-01-06,7days,BA,Y
Gucci,dionysus cross bag2,a1134530,2020-12-01,2021-01-06,7days,BA,Y
Gucci,flap cross bag grey,a1139426,2020-12-23,2021-01-06,4days,BA,Y
Salvatore Ferragamo,classic chain shoulder bag black,a1141007,2021-01-04,2021-01-06,4days,BA,Y
Gucci,mammont chain wallet bag black,a1138028,2020-12-19,2021-01-06,7days,BA,Y
Chanel,pocket basic pattern wool fullzip-jacket grey,a1141288,2021-01-05,2021-01-06,4days,O,Y
Gucci,mixed pattern knit top multi,a1139436,2020-12-23,2021-01-05,4days,T,Y
Andersen-Andersen,basic pattern turtle neck sweater black,a1137042,2020-12-14,2021-01-05,7days,T,Y
Max Mara,strap basic pattern wrap-coat black,a124755,2019-05-19,2021-01-05,7days,O,Y
A.P.C.,tailored collar coat,a1137121,2020-12-15,2021-01-05,7days,O,Y
Vivienne Westwood,nappa clasp chain bag,a1137121,2020-12-15,2021-01-05,7days,BA,Y
Self-portrait,pleats lace pattern H-Line dress white,a1141142,2021-01-05,2021-01-05,4days,D,Y
Chloe,drew bag beige,a1141010,2021-01-04,2021-01-05,7days,BA,Y
Gucci,mixed pattern ribbon jacket multi,a1137159,2020-12-15,2021-01-05,7days,T,Y
Sonia Rykiel,frill detail pleats sleeve dress,a167920,2019-12-22,2021-01-05,4days,D,Y
Amsale,spangle one shoulder dress salmon,a1140937,2021-01-03,2021-01-05,4days,D,Y
Diane von Furstenberg,cap sleeve tight dress gold,a1140937,2021-01-03,2021-01-05,4days,D,Y
Saint Laurent,quilted calfskin shoulder bag,a1139320,2020-12-22,2021-01-05,7days,BA,Y
Hugo Boss,strap basic pattern coat burgundy,a1139320,2020-12-22,2021-01-05,7days,O,Y
Givenchy,ribbon basic pattern H-Line dress black,a1139320,2020-12-22,2021-01-05,7days,D,Y
Max Mara,lace detail crop cardigan black_1,a1119528,2020-09-14,2021-01-04,4days,T,Y
Christian Dior,oblique jacquard shoulder bag,a1119528,2020-09-14,2021-01-04,4days,BA,Y
Burberry,belt basic pattern trench-coat red,a1119528,2020-09-14,2021-01-04,4days,O,Y
Sandro,button stripe pattern shirts skyblue,a1140958,2021-01-03,2021-01-04,4days,T,
Bottega Veneta,foldover top cross bag black,a134855,2019-07-30,2021-01-04,4days,BA,Y
Prada,padding two way bag black,a1141018,2021-01-04,2021-01-04,4days,BA,Y
Christian Dior,silver detailed cross bag black,a120417,2019-04-25,2021-01-04,7days,BA,Y
Margarin fingers,frill dots pattern blouse black,a1140738,2021-01-01,2021-01-03,4days,T,Y
Celine,luggage bag black,a1118051,2020-09-06,2021-01-03,4days,BA,Y
Vivienne Westwood,wave detail cape coat black,a1140877,2021-01-02,2021-01-03,4days,O,
& Other Stories,button basic pattern blouse black,a1140612,2020-12-30,2021-01-03,4days,T,
Gucci,marmont gg logo quilted bag Black 4,a1127774,2020-10-30,2021-01-03,7days,BA,Y
Gucci,sylvie mini chain ribbon bag white,a1138262,2020-12-19,2021-01-03,4days,BA,Y
Balmain,double button long coat white,a1140621,2020-12-31,2021-01-02,7days,O,
El estilo de Claire,beads stud velvet jacket black,a196681,2020-04-17,2021-01-01,4days,O,Y
Baum Und Pferdgarten,geometric pattern A-Line dress purple,a196681,2020-04-17,2021-01-01,4days,D,Y
BCBG,pleats basic pattern H-Line dress deeppink,a196681,2020-04-17,2021-01-01,4days,D,Y
Chanel,pocket graphics pattern zipup-jumper navy,a1112031,2020-08-15,2021-01-01,7days,O,
Lmml Studio,heart pattern quilted skirts,a1140754,2021-01-01,2021-01-31,4days,B,Y
Christian Dior,graphics pattern cashmere sweater ivory,a1145000,2021-01-31,2021-01-31,7days,T,Y
Nike,pocket basic pattern fitness-jacket pink,a1142914,2021-01-14,2021-01-31,7days,O,Y
Gucci,marmont gg logo quilted bag Black 2,a1145022,2021-01-31,2021-01-31,7days,BA,Y
Yves Saint Laurent,monogram envelope chain cross bag,a1142618,2021-01-13,2021-01-31,7days,BA,Y
Gucci,mammont tote red,a1144833,2021-01-28,2021-01-31,4days,BA,Y
Chanel,quilted leather clutch bag,a1144959,2021-01-30,2021-01-30,7days,BA,Y
Not Your Rose,lace jacquard pattern H-Line dress brown,a1144952,2021-01-30,2021-01-30,4days,D,Y
Louis Vuitton,logo chain tote bag black,a1144704,2021-01-27,2021-01-30,4days,BA,Y
Burberry,button basic pattern top black,a1144704,2021-01-27,2021-01-30,4days,T,Y
,feminine military blouse & high waist wide slacks,a1144948,2021-01-30,2021-01-30,4days,TP,Y
,button basic pattern doublebreasted-jacket skyblue & slit basic pattern skirt skyblue,a170041,2020-01-01,2021-01-30,4days,TP,Y
Burberry,high neck design long coat brown,a187236,2020-03-08,2021-01-30,7days,O,Y
Diane von Furstenberg,ribbon point wrap dress navy,a1111352,2020-08-13,2021-01-30,4days,D,Y
Jigott,gather basic pattern H-Line knit-dress khaki,a1111352,2020-08-13,2021-01-30,4days,D,Y
Saint Laurent,chevron quilted cross bag black,a1144784,2021-01-28,2021-01-29,7days,BA,Y
Dolce & Gabbana,line detail flower dress multi,a1144874,2021-01-29,2021-01-29,4days,D,Y
Fendi,two way bucket bag black,a1144401,2021-01-25,2021-01-29,4days,BA,Y
Saint Laurent,chevron quilting cross bag cream,a1144837,2021-01-28,2021-01-29,4days,BA,Y
Louis Vuitton,monogram eva clutch,a1144848,2021-01-29,2021-01-29,4days,BA,Y
Imvely,peral button tweed dress pink,a167680,2019-12-21,2021-01-29,4days,D,Y
Escada,embroidery velvet jacket black,a14291,2018-04-19,2021-01-28,4days,O,Y
Gucci,microssima emily mini bag black,a1144814,2021-01-28,2021-01-28,7days,BA,Y
Louis Vuitton,monogram canvas clutch bag,a1140387,2020-12-29,2021-01-28,7days,BA,Y
,lace point shirring blouse pink & lace detail long mermaid skirt,a1141009,2021-01-04,2021-01-28,4days,TP,Y
Christian Dior,oblique jacquard shoulder bag,a1141009,2021-01-04,2021-01-28,4days,BA,Y
Diagonal,pocket basic pattern jacket brown,a1141009,2021-01-04,2021-01-28,4days,O,Y
Fendi,by the way small black,a1144653,2021-01-27,2021-01-28,4days,BA,Y
System,three button coat gray,a1144597,2021-01-26,2021-01-28,4days,O,Y
Christian Dior,croisiere patent lady bag,a1144515,2021-01-26,2021-01-28,4days,BA,Y
On&On,basic pattern A-Line dress charcoal,a1144531,2021-01-26,2021-01-28,7days,D,
Gucci,small logo pointed cross bag black,a1144790,2021-01-28,2021-01-28,4days,BA,Y
Chloe,button basic pattern coat brown,a1144622,2021-01-26,2021-01-28,4days,O,Y
Lucky Chouette,unique pattern pointed frill dress,a1144780,2021-01-28,2021-01-28,4days,D,Y
Molliolli,basic pattern fur-outer,a1144539,2021-01-26,2021-01-28,7days,O,Y
Prada,logo hobo bag black,a1135097,2020-12-04,2021-01-28,4days,BA,Y
Chanel,pocket basic pattern wool fullzip-jacket grey,a1135097,2020-12-04,2021-01-28,4days,O,Y
Fendi,printing pattern wool sweater black,a1142333,2021-01-11,2021-01-28,4days,T,Y
Gucci,dionysus cross bag,a1144763,2021-01-28,2021-01-28,7days,BA,Y
Chanel,zipper detail bucket tote bag,a1144766,2021-01-28,2021-01-28,4days,BA,Y
Prada,fur detail slim line single coat,a1144764,2021-01-28,2021-01-28,4days,O,Y
Celine,round hem line sweater gray_1,a1144749,2021-01-28,2021-01-28,4days,T,Y
Gucci,jackie 1961 hobo bag ivory,a1144749,2021-01-28,2021-01-28,4days,BA,Y
The Clozet,leopard pattern fur jacket 2,a1130389,2020-11-13,2021-01-28,4days,O,
Gucci,leather point cross bag,a1144727,2021-01-27,2021-01-28,4days,BA,
Mojosphine,basic pattern blouse white,a1144725,2021-01-27,2021-01-28,4days,T,Y
Burberry,tb leather belt bag black,a1144350,2021-01-24,2021-01-27,4days,BA,Y
Gucci,dionysus cross bag2,a1136047,2020-12-09,2021-01-27,4days,BA,Y
Bottega Veneta,foldover top cross bag black,a1129084,2020-11-07,2021-01-27,4days,BA,Y
Allen.O,layered collar detail dress multi,a1129141,2020-11-07,2021-01-27,4days,D,Y
Chanel,quilted boy chain bag black,a1144306,2021-01-24,2021-01-27,7days,BA,Y
Lucky Chouette,check pattern sweater black,a1143236,2021-01-15,2021-01-27,7days,T,Y
Chanel,mini round cross bag pink,a1126559,2020-10-25,2021-01-27,4days,BA,Y
Saint Laurent,cabas monogramtote bag black,a1144628,2021-01-27,2021-01-27,4days,BA,Y
Gucci,logo pointed cross bag black,a1144283,2021-01-24,2021-01-27,4days,BA,Y
Chanel,small logo quilted cross body bag black,a186156,2020-03-03,2021-01-27,7days,BA,Y
It michaa,lace flower pattern A-Line dress mint,a1140169,2020-12-28,2021-01-27,4days,D,Y
Gucci,v neck floral printing dress,a1142352,2021-01-11,2021-01-27,4days,D,Y
Saint Laurent,chevron quilted cross bag black,a1144656,2021-01-27,2021-01-27,7days,BA,Y
Saint Laurent,monogram chain wallet bag black,a1127427,2020-10-28,2021-01-27,7days,BA,Y
Thom Browne,slit stripe pattern wool top grey,a1141794,2021-01-09,2021-01-27,7days,T,Y
Dolce & Gabbana,slime line single coat black,a1144543,2021-01-26,2021-01-27,7days,O,Y
Vunque,toque tote M black,a181152,2020-02-09,2021-01-27,4days,BA,Y
Maje,button basic pattern H-Line knit-dress beige,a1142470,2021-01-12,2021-01-27,4days,D,Y
Jill Stuart,trimming pointed tweed dress,a1138988,2020-12-21,2021-01-27,4days,D,Y
Celine,luggage bag black,a1144203,2021-01-23,2021-01-26,7days,BA,Y
Salvatore Ferragamo,vara leather cross bag black,a1144228,2021-01-23,2021-01-26,4days,BA,Y
Egoist,flower pattern A-Line dress multi,a1144219,2021-01-23,2021-01-26,7days,D,Y
Gucci,mamont bucket bag ivory,a1144564,2021-01-26,2021-01-26,4days,BA,Y
Johnny Hates Jazz,two button shirt dress,a1144356,2021-01-24,2021-01-26,4days,D,Y
Christian Dior,silver detailed cross bag black,a1111676,2020-08-14,2021-01-26,4days,BA,Y
Moschino,embroidery printing pattern wool sweater blue,a1144318,2021-01-24,2021-01-26,4days,T,Y
Sandro,pocket basic pattern wide-pants navy,a1143880,2021-01-20,2021-01-26,4days,B,Y
Burberry,button basic pattern wool coat brown,a1143880,2021-01-20,2021-01-26,4days,O,Y
Ami,pocket basic pattern hoodie grey,a1144550,2021-01-26,2021-01-26,7days,T,Y
Diane von Furstenberg,lace long sleeve wrap dress,a1144535,2021-01-26,2021-01-26,7days,D,Y
BCBG Max Azria,lace stripe pattern A-Line shirt-dress navy,a1144535,2021-01-26,2021-01-26,7days,D,Y
S blanc,ruffle basic pattern A-Line dress mint,a1144535,2021-01-26,2021-01-26,7days,D,Y
Mojosphine,basic pattern H-Line dress grey,a1144535,2021-01-26,2021-01-26,7days,D,Y
Thom Browne,roll up basic pattern slacks navy,a1144523,2021-01-26,2021-01-26,7days,B,
Thom Browne,oxford basic tee gray,a1144523,2021-01-26,2021-01-26,7days,T,
It michaa,button basic pattern coat brown,a1144526,2021-01-26,2021-01-26,4days,O,Y
Gucci,mamont chain mini cross bag black,a1144520,2021-01-26,2021-01-26,4days,BA,Y
Michael Michael Kors,belt basic pattern padding-outer black,a1144470,2021-01-25,2021-01-26,4days,O,Y
,printing pattern hoodie grey & pocket basic pattern jogger-pants grey,a1144470,2021-01-25,2021-01-26,4days,TP,Y
Burberry,classic cross bag black,a1144470,2021-01-25,2021-01-26,4days,BA,Y
Saint Laurent,quilted shoulder bag black,a19187,2018-10-01,2021-01-26,7days,BA,Y
Spring Crocus,shawl collar long coat beige,a1144192,2021-01-23,2021-01-26,4days,O,Y
Allsaints,v-neck flower pattern flare dress,a1144192,2021-01-23,2021-01-26,4days,D,Y
Prada,gradation color padding jumper,a1105887,2020-06-24,2021-01-25,7days,O,Y
El estilo de Claire,neck frill and ribbon detail blouse,a1144468,2021-01-25,2021-01-25,4days,T,Y
Theory,button check pattern doublebreasted-jacket khaki,a1144474,2021-01-25,2021-01-25,7days,O,Y
Celine,trapeze tote bag black,a1142968,2021-01-14,2021-01-25,4days,BA,Y
Gucci,button flower pattern H-Line dress lavender,a1144458,2021-01-25,2021-01-25,4days,D,Y
Polo Ralph Lauren,pocket check pattern wool duffle-coat bluegreen,a1128618,2020-11-04,2021-01-25,7days,O,Y
Balenciaga,gold logo point tote bag blue,a1144445,2021-01-25,2021-01-25,4days,BA,Y
Gucci,dionysos velvet chain shoulder bag navy,a1143759,2021-01-19,2021-01-25,7days,BA,Y
Yves Saint Laurent,chevron quilting cross bag black,a110269,2018-10-19,2021-01-25,7days,BA,Y
Burberry,button Quilting pattern padding-outer beige,a167357,2019-12-20,2021-01-25,7days,O,Y
Prada,gold logo crossbody bag hotpink,a168919,2019-12-28,2021-01-25,7days,BA,Y
Fayewoo,see-through lace detail tunic dress black,a1144380,2021-01-25,2021-01-25,4days,D,Y
Eight Slate,basic pattern unbalance skirt skyblue,a185351,2020-02-29,2021-01-25,4days,B,Y
ACNE STUDIOS,belt basic pattern coat pink,a1144378,2021-01-25,2021-01-25,7days,O,Y
Gucci,sylvie mini chain ribbon bag white,a1144355,2021-01-24,2021-01-24,7days,BA,Y
Salvatore Ferragamo,ginny bag M black silver chain,a1144105,2021-01-22,2021-01-24,7days,BA,
Cos,pocket basic pattern jump-suit brown,a1133038,2020-11-25,2021-01-24,4days,D,Y
Gucci,logo pointed cross bag,a1144326,2021-01-24,2021-01-24,7days,BA,Y
Yves Saint Laurent,belle de jour clutch black,a117125,2019-02-27,2021-01-24,7days,BA,Y
Yves Saint Laurent,kate small monogram bag beige,a1134516,2020-12-01,2021-01-24,7days,BA,Y
Gucci,vintage web GG backpack,a1144267,2021-01-24,2021-01-24,7days,BA,Y
Chanel,2.55 classic patent bag navy,a1137772,2020-12-18,2021-01-23,7days,BA,Y
Bottega Veneta,intrecciato shoulder bag purple,a1138161,2020-12-19,2021-01-23,4days,BA,Y
Ted Baker,lace basic pattern A-Line dress black,a1132003,2020-11-21,2021-01-23,7days,D,Y
Not Your Rose,ruffle flower pattern A-Line halterneck-dress yellow,a1109071,2020-07-24,2021-01-23,4days,D,Y
Max Mara,pocket basic pattern coat khaki,a1139929,2020-12-26,2021-01-22,4days,O,
Adidas X Stella Mccartney,pocket basic pattern fullzip-jacket black,a154850,2019-11-09,2021-01-22,4days,O,Y
Yves Saint Laurent,logo clutch bag black,a1144097,2021-01-22,2021-01-22,4days,BA,Y
Vivienne Westwood Red Label,ruffle stripe blouse,a1142610,2021-01-13,2021-01-22,7days,T,Y
Wonder Style,fur detailed shining jacket gold,a1143701,2021-01-18,2021-01-22,4days,O,Y
Versace,colorful pattern pointed shirt multi,a1143701,2021-01-18,2021-01-22,4days,T,Y
Sacai,mixed pattern high neck blouse,a1143701,2021-01-18,2021-01-22,4days,T,Y
Burberry,button basic pattern wool jacket black,a1143701,2021-01-18,2021-01-22,4days,O,Y
Versace,pocket graphics pattern sweat-pants white,a1143701,2021-01-18,2021-01-22,4days,B,Y
H&Moschino,pocket graphics pattern hoodie yellow,a1143701,2021-01-18,2021-01-22,4days,T,Y
Balenciaga,printing pattern top multi,a1143701,2021-01-18,2021-01-22,4days,T,Y
Yves Saint Laurent,monogram envelope chain cross bag,a1144045,2021-01-22,2021-01-22,4days,BA,Y
Prada,small logo classic two way bag black,a1144011,2021-01-21,2021-01-22,4days,BA,Y
Saint Laurent,chevron clutch black,a1144042,2021-01-22,2021-01-22,7days,BA,Y
Saint Laurent,quilted calfskin shoulder bag,a1141954,2021-01-10,2021-01-22,4days,BA,Y
Gucci,mamont chain bag red,a1144008,,2021-01-21,7days,BA,Y
Gucci,padlock GG canvas shoulder bag,a186345,2020-03-04,2021-01-21,7days,BA,Y
,button basic pattern jacket black & pocket basic pattern slacks black,a121913,2019-05-05,2021-01-21,4days,TP,Y
Louis Vuitton,alma epi pm tote bag black,a178166,2020-01-29,2021-01-21,7days,BA,Y
Delvaux,brillant GM satchel bag,a111461,2018-11-14,2021-01-21,4days,BA,Y
More Or Less,fur texture crop jacket purple,a175136,2020-01-18,2021-01-21,4days,O,Y
Burberry,belt check pattern trench-coat beige,a1142838,2021-01-13,2021-01-21,7days,O,Y
Prada,saffiano lux M gray,a1143269,2021-01-15,2021-01-21,4days,BA,Y
Jigott,belted detail wrap dress blue,a1143322,2021-01-15,2021-01-21,4days,D,Y
Balenciaga,ville logo bag white,a172349,2020-01-10,2021-01-21,4days,BA,Y
Vivienne Westwood,button basic pattern shirts black,a172349,2020-01-10,2021-01-21,4days,T,Y
Christian Dior,backless crop knit beige,a1141952,2021-01-10,2021-01-21,4days,T,Y
Yves Saint Laurent,chevron pattern chain bag beige,a1140640,2020-12-31,2021-01-21,4days,BA,Y
Comme des Garcons,embroidery stripe pattern shirts blue,a1143118,2021-01-14,2021-01-21,7days,T,Y
Chanel,stripe pattern pointed cardigan multi,a1140707,2020-12-31,2021-01-21,7days,O,Y
khrisjoy,pocket basic pattern padding-outer purple,a1121202,2020-09-24,2021-01-21,7days,O,Y
Louis Vuitton,monogram shoulder bag black,a112106,2018-11-27,2021-01-21,7days,BA,Y
,buckle shirt & embroidery lace skirt charcoal,a1132297,2020-11-22,2021-01-21,7days,TP,Y
Molliolli,pocket basic pattern fur-outer black,a175862,2020-01-20,2021-01-21,7days,O,Y
Dior,croisiere patent lady bag,a1121708,2020-09-28,2021-01-21,4days,BA,Y
,button tweed pattern doublebreasted-coat multi & tweed pattern skirt multi,a1127979,2020-10-31,2021-01-21,7days,TP,Y
Gucci,dionysus cross bag black,a140509,2019-09-15,2021-01-21,4days,BA,Y
The Clozet,side detail midi coat green,a171644,2020-01-08,2021-01-21,4days,O,Y
Louis Vuitton,logo chain tote bag black,a1143948,2021-01-21,2021-01-21,4days,BA,Y
Thom Browne,basic pattern sweat-shirts grey,a198621,2020-04-25,2021-01-21,4days,T,Y
Miu Miu,bauletto vitello pink,a1106233,2020-06-27,2021-01-21,7days,BA,Y
ACNE STUDIOS,basic pattern sweater navy,a1143946,2021-01-21,2021-01-21,7days,T,Y
Burberry London,hoody belted coat black,a1130171,2020-11-12,2021-01-21,4days,O,Y
Balenciaga,printing pattern t-shirts grey,a1130171,2020-11-12,2021-01-21,4days,T,Y
Dior,monogram clutch beige,a1130171,2020-11-12,2021-01-21,4days,BA,Y
Jill By Jill Stuart,balloon sleeve flare dress white,a1143670,2021-01-18,2021-01-21,7days,D,Y
Cos,wave hem line dress white,a1143670,2021-01-18,2021-01-21,7days,D,Y
Michaa,slit basic pattern H-Line shirt-dress white,a1143670,2021-01-18,2021-01-21,7days,D,Y
Mojosphine,eight button belted dress red,a1143006,2021-01-14,2021-01-21,7days,D,Y
Mulberry,lily bag brown multi,a1143945,2021-01-21,2021-01-21,4days,BA,
